Category,SubCategory,Type,Name,SegmentId,SegmentIdLong,Last Compute Day,Description
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Status_Registered_1x180,MV4xvnb1,tiygonddz,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Status_Registered_1x30-15,Mc7S5bJm,to4ouy84o,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Status_Registered_1x45-30,Mc7RupcN,to4oja3xb,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Status_Registered_1x60-45,Mc7Qp5T2,to4n8ktb8,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Iqos-JP_Status_Registered_1x90-60,Mc7P2Nhq,to4n0ie3w,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Media-Exposure_Exposed_1x180,MX43LpEc,tkpm6kj96,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Media-Exposure_Impressions_1-5x180,MX46byFc,tkpn2109q,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Media-Exposure_Impressions_11-50x180,MX4-1YTf,tkppaz8dt,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Media-Exposure_Impressions_51+x180,MX4_GVa-,tkppdnhv0,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Media-Exposure_Impressions_6-10x180,MX4_dxD7,tkppha5hp,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Media-Interaction_Clicks_1x180,MX5AjmjY,tkppr7jai,2019-04-09,
Personas,Japan,Analytics,JP_Analytics_1PD_Media-Interaction_Clicks_2+x180,MX4_7T4a,tkpplw5e0,2019-04-09,
Consumer Journey Stages,Japan,Analytics,JP_Consumer Journey Stages_1 Universe,MeEUZP9e,tp4pk8nv0,2019-04-09,All cookies in the DMP for a given market
Consumer Journey Stages,Japan,Analytics,JP_Consumer Journey Stages_4b Discover Dormant,MmWtZY0q,txeb4ej60,2019-04-09,Have decided IQOS is not for them. No longer considered. Captures only 1 page visit of IQOS site (Non-returning user) Excluding existing customers or trialists
Consumer Journey Stages,Japan,Analytics,JP_Consumer Journey Stages_5 Consider,MmWvEuEj,txeck5met,2019-04-09,"All returning IQOS visitors OR registered excluding customers OR those visiting shop, try product page, Store Locator, support or Catalog Page OR cart abandoners"
Consumer Journey Stages,Japan,Analytics,JP_Consumer Journey Stages_6 Find,MmhohCZx,txjp3pp0z,2019-04-09,"All returning IQOS visitors OR registered who have visited shop, try product page, Store Locator, support or Catalog Page OR cart abandoners"
Consumer Journey Stages,Japan,Analytics,JP_Consumer Journey Stages_7 Active,Mj84hy9R,tvagiq74j,2019-04-09,Captures all users who engaged (registered or purchased) in the last 60 days
Consumer Journey Stages,Japan,Analytics,JP_Consumer Journey Stages_8 Dormant,Mj85NBRD,tvagph201,2019-04-09,Captures all users who are registered over 60 days ago OR not purchased anything in the last 60 days.
"",,,JP_Registered within 90 Days,MU0tEJsB,th0vuzukz,2019-04-09,
Age,APAC,Master,Master_1PD_IQOS_AgeGating_Accept,MfjH2v4P,trfg3ezkx,2019-04-03,Contains all users who have clicked Yes or OK to the Age Gating button on their respective IQOS site
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Media-Exposure_NonExposed_1x180,MZhRseJk,tl45cbv1i,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Onsite-Behaviour_Converters Purchasers_1x180,MZhS0zJw,tl45nl9y6,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Onsite-Behaviour_Converters Try It_1x180,MZhTUtxS,tl45sllno,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Onsite-Behaviour_Non Converters_1x180,MZhUJXqQ,tl450tf6a,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Page-Visit_cart_1x180,MZhU3Thy,tl457zjlw,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Page-Visit_home_1x180,MZhVydZq,tl46g7wt4,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Page-Visit_Iqos 2.4 Plus_1x180,Mj2xJWaX,tu7fxcmqx,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Page-Visit_Iqos 3 Multi_1x180,MZh7R_kc,tl5gvp2em,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Page-Visit_Iqos 3_1x180,MZh8CKov,tl5g28qe5,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Page-Visit_shipping information_1x180,MZh93du3,tl5hljsjt,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Site-Visitor_Frequency_1-5x180,MZiCTN1A,tl5itt3e6,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Site-Visitor_Frequency_1-5x30,MhE-_i4m,tsrqv5ewo,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Site-Visitor_Frequency_1-5x7,MhE5IaOM,tsro9lnoe,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Site-Visitor_Frequency_1-5x90,MhFZKrW-,tsrx5lemo,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Site-Visitor_Frequency_11+x180,MZiDKjVh,tl5i2g0b3,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Site-Visitor_Frequency_11+x30,MhFx7k2e,tsr40yej0,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Site-Visitor_Frequency_11+x7,MhFxARfw,tsr4ro7cy,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Site-Visitor_Frequency_11+x90,MhFzL50b,tsr5dhqjx,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Site-Visitor_Frequency_1x180,Mj1sUuYT,tu6wtwj2t,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Site-Visitor_Frequency_6-10x180,MZiDpVEf,tl5i69xn1,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Site-Visitor_Frequency_6-10x30,MhFqj-5s,tsr2zcoou,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Site-Visitor_Frequency_6-10x7,MhFtCRCp,tsr3n10xn,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Site-Visitor_Frequency_6-10x90,MhFraz2Q,tsr27wqoy,2019-04-09,
Personas,Malaysia,Analytics,MY_Analytics_1PD_Iqos-MY_Site-Visitor_Frequency_Allx180,MXxGRNxA,tklta1oeq,2019-04-09,
